epoch,accuracy,loss,val_accuracy,val_loss
0,0.7996183037757874,1.449686884880066,0.8038461804389954,0.6246895790100098
1,0.9072042107582092,0.3136786222457886,0.7932692170143127,0.8727527856826782
2,0.9289122223854065,0.2525826394557953,0.8009615540504456,0.8821706771850586
3,0.9277194738388062,0.2939441502094269,0.8807692527770996,0.43616873025894165
4,0.927003800868988,0.3291054368019104,0.9057692289352417,0.37401825189590454
5,0.9341602921485901,0.3080107271671295,0.875,0.5618484616279602
6,0.8914599418640137,0.9143635630607605,0.8144230842590332,1.2081623077392578
7,0.9117366671562195,0.6723273992538452,0.8980769515037537,0.613944947719574
8,0.9324904680252075,0.4107947051525116,0.7884615659713745,1.5743485689163208
9,0.9363072514533997,0.3362853229045868,0.8500000238418579,0.8639408349990845
10,0.933921754360199,0.40631988644599915,0.932692289352417,0.37510108947753906
11,0.8520992398262024,1.5099021196365356,0.2567307651042938,11.327132225036621
12,0.857824444770813,1.4748162031173706,0.942307710647583,0.3910503387451172
13,0.9169847369194031,0.6308973431587219,0.9375,0.3655369281768799
14,0.9367843270301819,0.4576268196105957,0.9346153736114502,0.3997442126274109
15,0.9348759651184082,0.4521837830543518,0.9336538314819336,0.3767758905887604
16,0.9312977194786072,0.4743863046169281,0.9067307710647583,0.6613157391548157
17,0.9305820465087891,0.47962486743927,0.9288461804389954,0.4097711443901062
18,0.8950381875038147,1.0143070220947266,0.7509615421295166,3.300520896911621
19,0.8959923386573792,0.9976741671562195,0.9182692170143127,0.4831571877002716
20,0.9346374273300171,0.5270140767097473,0.9442307949066162,0.3348417282104492
21,0.9420324563980103,0.3971796929836273,0.9278846383094788,0.4138907194137573
22,0.7748091816902161,3.298346996307373,0.7432692050933838,3.9149487018585205
23,0.7418892979621887,3.932746171951294,0.7432692050933838,3.9149487018585205
24,0.7418892979621887,3.93599271774292,0.7432692050933838,3.9149491786956787
